predictor,dataset,records_processed,records_total,valid_records,seed_p_low,seed_p_high,n_windows,pearson
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.0,0.05,1163757,0.04218677087651993
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.05,0.1,747032,-0.036404369210515465
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.1,0.15,483670,-0.0673647873309193
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.15,0.2,343175,-0.07058148010585895
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.2,0.25,253472,-0.0751439609280634
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.25,0.3,197603,-0.08563127821460001
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.3,0.35,159738,-0.1026591231160206
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.35,0.4,128818,-0.10701326305375053
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.4,0.45,106697,-0.10311677648454029
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.45,0.5,89092,-0.10805614236051857
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.5,0.55,74899,-0.11572758731306473
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.55,0.6,63460,-0.11836644610411677
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.6,0.65,52140,-0.1338262934343392
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.65,0.7,44225,-0.11145167939936847
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.7,0.75,37537,-0.14212607549163747
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.75,0.8,31214,-0.08892229446252338
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.8,0.85,25102,-0.10531431961140994
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.85,0.9,21044,-0.09275052879512245
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.9,0.95,14332,-0.1509263272311098
pipeline_score,dms_yeast_invivo,7036,7036,4297,0.95,1.0,5874,-0.1531964836227038
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.0,0.05,6791152,0.15469580856404544
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.05,0.1,3101899,0.11114962348508832
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.1,0.15,1873308,0.10826447244432219
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.15,0.2,1275655,0.10534160394433417
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.2,0.25,930327,0.10461918183957038
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.25,0.3,712051,0.0967061599072429
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.3,0.35,562069,0.09789133400924974
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.35,0.4,453084,0.09732113418571336
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.4,0.45,369021,0.09490989779131925
pipeline_score,icshape_mouse_invivo,55203,55203,9626,0.45,0.5,303621,0.09396133848340131
