gene_id,log2FoldChange,baseMean,pvalue,padj
katG,3.308,1481.6,4.144e-04,1.243e-03
soxS,3.852,437.3,1.027e-04,3.080e-04
sodA,2.018,243.7,5.419e-05,1.626e-04
ahpC,4.747,575.2,4.630e-05,1.389e-04
oxyR,1.715,1005.2,1.162e-04,3.487e-04
grxA,2.033,2100.0,3.264e-04,9.793e-04
trxC,4.373,1239.3,6.122e-05,1.837e-04
dps,4.57,1863.8,2.900e-05,8.700e-05
yhjA,4.395,1766.4,2.901e-04,8.704e-04
gor,2.522,2375.6,3.784e-04,1.135e-03
fpr,4.424,741.2,2.688e-04,8.064e-04
zwf,5.031,754.7,1.744e-04,5.231e-04
acnA,3.485,1156.6,4.125e-04,1.237e-03
fumC,4.458,2223.5,2.132e-04,6.397e-04
nfo,4.348,645.4,4.191e-04,1.257e-03
xthA,2.874,2379.5,5.495e-05,1.648e-04
recA,3.007,1416.2,3.167e-04,9.501e-04
uvrA,1.888,371.3,3.455e-04,1.037e-03
mutM,3.124,619.2,3.566e-04,1.070e-03
poxB,3.335,132.6,4.207e-04,1.262e-03
lacZ,-3.2,965.1,6.217e-04,1.865e-03
lacY,-2.035,580.8,4.468e-04,1.340e-03
lacA,-2.373,1503.9,1.337e-04,4.012e-04
malE,-2.856,966.6,7.226e-04,2.168e-03
malK,-4.722,2698.4,3.305e-04,9.916e-04
araB,-1.934,829.5,9.934e-05,2.980e-04
araA,-3.901,2736.0,4.119e-04,1.236e-03
rbsB,-4.59,537.1,2.438e-04,7.314e-04
mglB,-1.675,1472.0,4.914e-04,1.474e-03
ptsG,-2.894,929.4,7.527e-04,2.258e-03
fliC,-1.699,2634.1,3.504e-04,1.051e-03
flhD,-2.928,148.5,5.196e-04,1.559e-03
motA,-4.388,1626.6,2.781e-04,8.342e-04
cheY,-2.164,365.0,5.751e-04,1.725e-03
tar,-2.48,1247.6,4.174e-04,1.252e-03
rpoA,0.21,3674.8,8.359e-01,9.990e-01
rpoB,0.147,4922.3,2.934e-01,4.107e-01
rpoC,0.025,3669.0,2.281e-01,3.194e-01
gyrA,-0.132,1728.4,4.626e-01,6.477e-01
gyrB,-0.279,2550.8,9.917e-02,1.388e-01
ftsZ,-0.046,2868.2,2.754e-01,3.855e-01
dnaA,0.13,456.9,3.137e-01,4.392e-01
secA,-0.002,4691.5,2.550e-01,3.570e-01
groL,-0.009,3289.3,5.264e-01,7.369e-01
tufA,0.024,3943.3,1.077e-01,1.508e-01
rplA,-0.217,1646.0,9.242e-01,9.990e-01
rpsA,0.242,1084.0,7.750e-01,9.990e-01
atpA,-0.006,1918.9,6.702e-01,9.383e-01
cyoA,-0.009,1303.5,9.435e-01,9.990e-01
nuoA,-0.088,1682.2,3.477e-01,4.868e-01
