gene_id,gene_symbol,log2fc,pvalue,padj
b1923,fliC,-5.716,,
b1889,motB,-5.527,,
b1881,cheZ,-5.051,,
b4109,yjdA,-4.78,,
b1566,flxA,-4.677,,
b4035,malK,-4.311,,
b3417,malP,-4.194,,
b1890,motA,-4.153,,
b3525,yhjH,-4.111,,
b1888,cheA,-3.996,,
b1887,cheW,-3.993,,
b1849,purT,3.891,,
b3686,ibpB,-3.884,,
b4034,malE,-3.811,,
b1883,cheB,-3.736,,
b4037,malM,-3.667,,
b4036,lamB,-3.643,,
b1882,cheY,-3.569,,
b3547,yhjX,-3.503,,
b4189,yjfO,3.435,,
b4355,tsr,-3.271,,
b2752,cysD,3.268,,
b1886,tar,-3.228,,
b1552,cspI,3.227,,
b2751,cysN,3.182,,
b2020,hisD,3.153,,
b3416,malQ,-3.081,,
b2056,wcaD,3.061,,
b1924,fliD,-3.047,,
b4188,yjfN,3.02,,
b4032,malG,-3.0,,
b3687,ibpA,-2.989,,
b1057,yceJ,2.978,,
b0473,htpG,-2.861,,
b1884,cheR,-2.823,,
b1194,ycgR,-2.816,,
b2675,nrdE,-2.68,,
b4033,malF,-2.673,,
b1588,ynfF,2.649,,
b2424,cysU,2.64,,
b1171,ymgD,2.634,,
b3728,pstS,-2.618,,
b4382,deoA,-2.611,,
b1375,ynaE,2.61,,
b2704,srlB,-2.598,,
b2592,clpB,-2.588,,
b2535,csiE,2.572,,
b4381,deoC,-2.572,,
b1535,ydeH,2.567,,
b0015,dnaJ,-2.474,,
b2703,srlE,-2.472,,
b1885,tap,-2.47,,
b1926,fliT,-2.446,,
b1455,yncH,2.413,,
b1138,ymfE,2.403,,
b3118,tdcA,2.381,,
b1691,ydiN,2.372,,
b1044,ymdA,-2.367,,
b2013,yeeE,2.35,,
b3932,hslV,-2.336,,
b2258,arnF,2.326,,
b1925,fliS,-2.296,,
b4143,groL,-2.294,,
b0287,yagU,-2.282,,
b3400,hslR,-2.28,,
b0014,dnaK,-2.275,,
b0400,phoR,-2.274,,
b2055,wcaE,2.269,,
b4026,yjbE,2.266,,
b1500,yneN,2.246,,
b3654,xanP,2.242,,
b1481,bdm,2.237,,
b3931,hslU,-2.236,,
b3484,yhhI,-2.225,,
b2750,cysC,2.205,,
b1846,yebE,2.204,,
b4383,deoB,-2.188,,
b0399,phoB,-2.175,,
b4133,cadC,-2.168,,
b4307,yjhQ,2.167,,
b1773,ydjI,-2.165,,
b1795,yeaQ,2.162,,
b0776,bioF,2.129,,
b2058,wcaB,2.104,,
b2943,galP,-2.101,,
b1424,opgD,2.1,,
b3401,hslO,-2.09,,
b1722,ydiY,-2.089,,
b2757,casD,-2.087,,
b2702,srlA,-2.085,,
b3371,frlB,-2.081,,
b3524,yhjG,-2.07,,
b0439,lon,-2.057,,
b1453,ansP,2.054,,
b2705,srlD,-2.04,,
b2642,yfjW,2.036,,
b1082,flgK,-2.035,,
b3127,garP,2.029,,
b2312,purF,2.016,,
b3727,pstC,-2.013,,
b1321,ycjX,-2.008,,
b1163,ycgF,1.994,,
b3225,nanA,-1.993,,
b4142,groS,-1.986,,
b1760,ynjH,-1.983,,
b0846,ybjK,1.934,,
b1872,torZ,-1.928,,
b1788,yoaI,1.922,,
b3110,yhaO,-1.913,,
b1904,yecR,-1.89,,
b1480,sra,1.883,,
b0953,rmf,1.858,,
b0719,ybgD,-1.855,,
b3497,yhiQ,-1.843,,
b0016,insL,-1.842,,
b0603,ybdO,1.839,,
b2614,grpE,-1.825,,
b0691,ybfG,-1.824,,
b2364,dsdC,-1.816,,
b2091,gatD,-1.815,,
b4110,yjcZ,-1.81,,
b3689,yidR,1.798,,
b3498,prlC,-1.793,,
b3238,yhcN,-1.782,,
b1384,feaR,1.779,,
b0492,ybbN,-1.779,,
b1322,ycjF,-1.767,,
b1071,flgM,-1.765,,
b1940,fliH,-1.762,,
b2035,rfc,1.761,,
b3263,yhdU,1.761,,
b1083,flgL,-1.756,,
b1070,flgN,-1.754,,
b1040,csgD,1.751,,
b0032,carA,1.745,,
b3831,udp,-1.745,,
b3714,purP,1.734,,
b1589,ynfG,1.73,,
b2851,ygeG,1.718,,
b3516,gadX,1.714,,
b2062,wza,1.712,,
b0346,mhpR,-1.698,,
b3379,php,1.691,,
b1045,ymdB,-1.69,,
b2365,dsdX,-1.689,,
b2418,pdxK,-1.688,,
b0124,gcd,-1.674,,
b1743,spy,1.663,,
b2143,cdd,-1.646,,
b2636,yfjS,-1.645,,
b1742,ves,-1.634,,
b2310,argT,1.632,,
b0561,tfaD,-1.631,,
b0586,entF,-1.628,,
b4384,deoD,-1.628,,
b1942,fliJ,-1.62,,
b4118,melR,1.614,,
b4288,fecD,-1.613,,
b3343,yheL,-1.613,,
b4290,fecB,-1.607,,
b2737,ygbK,-1.605,,
b4287,fecE,-1.6,,
b1499,ydeO,-1.599,,
b4140,fxsA,-1.596,,
b3507,dctR,1.594,,
b2023,hisH,1.591,,
b1409,ynbB,1.59,,
b2238,yfaH,1.583,,
b4317,fimD,-1.581,,
b2366,dsdA,-1.575,,
b1470,yddJ,1.575,,
b1113,ycfS,1.573,,
b2357,yfdN,1.573,,
b4217,ytfK,1.565,,
b3653,gltS,1.564,,
b1498,ydeN,-1.562,,
b2508,guaB,1.559,,
b4047,yjbL,1.559,,
b2036,glf,1.551,,
b1022,pgaC,-1.551,,
b1449,yncB,1.551,,
b1426,ydcH,1.548,,
b1937,fliE,-1.546,,
b2414,cysK,1.545,,
b4006,purH,1.543,,
b2423,cysW,1.539,,
b1601,tqsA,1.534,,
b2706,gutM,-1.529,,
b0943,ycbV,-1.528,,
b0512,allB,-1.521,,
b3117,tdcB,1.517,,
b3441,yhhY,1.515,,
b2507,guaA,1.51,,
b0532,sfmD,-1.506,,
b0559,ybcW,-1.505,,
b4291,fecA,-1.502,,
b4314,fimA,-1.498,,
b1557,cspB,1.495,,
b1938,fliF,-1.492,,
b3873,yihM,1.489,,
b4302,sgcA,-1.487,,
b2032,wbbK,1.485,,
b3829,metE,1.474,,
b2092,gatC,-1.47,,
b1315,ycjS,-1.469,,
b1943,fliK,-1.468,,
b2158,yeiH,-1.467,,
b2663,gabP,1.466,,
b2313,cvpA,1.465,,
b2141,yohJ,-1.459,,
b4187,aidB,-1.455,,
b2054,wcaF,1.454,,
b1921,fliZ,-1.446,,
b3774,ilvC,1.442,,
b1939,fliG,-1.437,,
b0135,yadC,-1.437,,
b2012,yeeD,1.436,,
b3418,malT,1.434,,
b0509,glxR,-1.424,,
b0700,rhsC,-1.421,,
b2848,yqeJ,1.42,,
b2499,purM,1.418,,
b1503,ydeR,1.414,,
b2363,yfdT,-1.405,,
b0226,dinJ,1.401,,
b3212,gltB,-1.397,,
b1056,yceI,1.389,,
b2352,gtrS,1.384,,
b0225,yafQ,1.384,,
b0573,cusF,-1.383,,
b1780,yeaD,-1.381,,
b2001,yeeR,-1.377,,
b3072,aer,-1.363,,
b3224,nanT,-1.362,,
b1949,fliQ,-1.357,,
b1391,paaD,-1.356,,
b1080,flgI,-1.355,,
b1843,yobB,1.355,,
b1062,pyrC,1.351,,
b3937,yiiX,-1.351,,
b4253,yjgL,1.351,,
b1283,osmB,1.349,,
b3751,rbsB,-1.348,,
b1139,lit,1.348,,
b1947,fliO,-1.342,,
b0279,yagM,-1.34,,
b0382,iraP,1.336,,
b0941,ycbT,-1.332,,
b0163,yaeH,1.33,,
b0273,argF,-1.33,,
b1077,flgF,-1.329,,
b2965,speC,1.326,,
b1946,fliN,-1.321,,
b2847,yqeI,1.321,,
b4312,fimB,-1.31,,
b0364,yaiS,-1.308,,
b2905,gcvT,1.308,,
b1729,ydjN,1.297,,
b0033,carB,1.291,,
b2625,yfjI,1.291,,
b3241,aaeA,-1.291,,
b3666,uhpT,-1.287,,
b1131,purB,1.287,,
b0775,bioB,1.284,,
b4106,phnC,1.283,,
b2021,hisC,1.282,,
b1410,ynbC,1.282,,
b2034,wbbI,1.282,,
b1036,ycdZ,-1.279,,
b1739,osmE,1.277,,
b1558,cspF,1.277,,
b3860,dsbA,1.277,,
b0368,tauD,-1.275,,
b0211,mltD,1.275,,
b1615,uidC,-1.273,,
b2760,casA,1.27,,
b1078,flgG,-1.267,,
b2938,speA,1.265,,
b2151,galS,1.264,,
b1018,efeO,-1.255,,
b1073,flgB,-1.252,,
b0727,sucB,-1.249,,
b1941,fliI,-1.244,,
b0729,sucD,-1.244,,
b2674,nrdI,-1.242,,
b1074,flgC,-1.241,,
b3661,nlpA,-1.237,,
b2682,ygaZ,1.236,,
b1945,fliM,-1.234,,
b2224,atoB,-1.232,,
b2844,yqeF,1.232,,
b1685,ydiH,1.231,,
b0565,ompT,-1.23,,
b2676,nrdF,-1.226,,
b1948,fliP,-1.226,,
b1880,flhB,-1.221,,
b1007,rutF,1.215,,
b4244,pyrI,1.215,,
b0336,codB,1.214,,
b3458,livK,-1.211,,
b4131,cadA,-1.209,,
b2045,wcaK,1.209,,
b0250,ykfB,-1.208,,
b3880,yihS,1.207,,
b3594,yibA,1.206,,
b2673,nrdH,-1.204,,
b3726,pstA,-1.204,,
b3872,yihL,1.202,,
b1817,manX,1.199,,
b1518,lsrG,1.199,,
b1783,yeaG,1.198,,
b1072,flgA,-1.195,,
b2551,glyA,1.194,,
b2976,glcB,-1.192,,
b2037,rfbX,1.191,,
b1922,fliA,-1.185,,
b0296,ykgM,-1.184,,
b1346,ydaQ,-1.183,,
b2980,glcC,1.182,,
b3153,yhbO,1.172,,
b1395,paaH,-1.168,,
b4297,yjhG,-1.166,,
b0112,aroP,-1.164,,
b3211,yhcC,-1.162,,
b2983,yghQ,-1.16,,
b0728,sucC,-1.16,,
b1944,fliL,-1.16,,
b1772,ydjH,-1.16,,
b0879,macB,-1.158,,
b2038,rfbC,1.157,,
b1702,pps,1.156,,
b2852,ygeH,1.155,,
b3748,rbsD,-1.153,,
b1081,flgJ,-1.153,,
b1061,dinI,1.151,,
b2756,casE,-1.148,,
b2442,intZ,1.148,,
b1422,ydcI,1.142,,
b1612,fumA,-1.139,,
b2937,speB,1.137,,
b3958,argC,1.136,,
b3624,rfaZ,1.136,,
