gene_id,gene_symbol,log2fc,pvalue,padj
ENSG00000140505,CYP1A2,-9.4,2.02388589000185e-32,
ENSG00000165478,HEPACAM,-9.1,1.02831246228277e-31,
ENSG00000198077,CYP2A7,-9.0,1.39504039096297e-55,
ENSG00000215124,AMD1P4,-8.9,1.5846234705868e-22,
ENSG00000101210,EEF1A2,8.8,8.02222815695954e-53,
ENSG00000105664,COMP,8.8,8.2876221940784e-29,
ENSG00000153294,ADGRF4,8.8,3.03807108555854e-10,
ENSG00000256612,CYP2B7P,-8.8,2.57983386854612e-66,
ENSG00000255974,CYP2A6,-8.6,1.24593295965286e-45,
ENSG00000090512,FETUB,-8.4,5.8240691616068e-73,
ENSG00000122121,XPNPEP2,-8.4,3.41820244477974e-28,
ENSG00000198670,LPA,-8.3,6.12235275785502e-63,
ENSG00000243135,,-8.3,7.58632168871197e-16,
ENSG00000180875,GREM2,-8.2,1.88388561377484e-61,
ENSG00000182566,CLEC4G,-8.2,2.27204538955411e-68,
ENSG00000249173,LINC01093,-8.2,1.28748682970884e-46,
ENSG00000251424,,-8.2,1.57227418769399e-20,
ENSG00000007306,CEACAM7,8.1,4.67745586019757e-11,
ENSG00000170373,CST1,8.1,2.76870042980194e-19,
ENSG00000171246,NPTX1,8.1,4.93611025856787e-31,
ENSG00000091513,TF,-8.0,5.41684494715332e-43,
ENSG00000197587,DMBX1,8.0,5.40518772696089e-10,
ENSG00000243818,,-8.0,1.35564108004269e-51,
ENSG00000244474,UGT1A4,-8.0,4.39127378013968e-31,
ENSG00000256937,KRT17P8,-8.0,4.41980823120321e-40,
ENSG00000124713,GNMT,-7.9,9.71678900733644e-61,
ENSG00000149124,GLYAT,-7.9,9.94220655667727e-39,
ENSG00000282097,,-7.9,1.54048881112525e-20,
ENSG00000122787,AKR1D1,-7.8,1.49386839790754e-41,
ENSG00000145192,AHSG,-7.8,5.36495195718578e-38,
ENSG00000160868,CYP3A4,-7.8,2.0233102102726e-28,
ENSG00000175003,SLC22A1,-7.8,6.84661391135647e-44,
ENSG00000175336,APOF,-7.8,4.25541941844662e-35,
ENSG00000269353,,-7.8,9.4702356187097e-14,
ENSG00000121871,SLITRK3,-7.7,1.07839493482434e-24,
ENSG00000146147,MLIP,-7.7,9.90026628106093e-28,
ENSG00000197408,CYP2B6,-7.7,3.52904817085366e-33,
ENSG00000225418,AKR1C5P,-7.7,9.9823713817724e-25,
ENSG00000117601,SERPINC1,-7.6,6.31612091075852e-28,
ENSG00000198729,PPP1R14C,7.6,4.77459043858601e-15,
ENSG00000229005,HNF4A-AS1,-7.6,1.60348071729385e-31,
ENSG00000237949,LINC00844,-7.6,2.76405278964692e-52,
ENSG00000248709,,-7.6,9.11848550392243e-30,
ENSG00000283342,NBPF13P,-7.6,1.54627416317513e-29,
ENSG00000086548,CEACAM6,7.5,6.0856742479227e-14,
ENSG00000099953,MMP11,7.5,3.79902551677867e-31,
ENSG00000111713,GYS2,-7.5,8.25588276158382e-33,
ENSG00000116785,CFHR3,-7.5,5.09749598511764e-35,
ENSG00000122194,PLG,-7.5,7.78484318332314e-25,
ENSG00000134365,CFHR4,-7.5,1.44317112955581e-28,
ENSG00000139209,SLC38A4,-7.5,7.13442081656895e-36,
ENSG00000143217,NECTIN4,7.5,7.39795614473914e-24,
ENSG00000170689,HOXB9,7.5,2.43830117609672e-06,
ENSG00000272068,BCAN-AS1,7.5,3.59277482328002e-19,
ENSG00000021826,CPS1,-7.4,3.73535596824688e-33,
ENSG00000073754,CD5L,-7.4,3.21840680118357e-27,
ENSG00000100652,SLC10A1,-7.4,1.66829313390421e-29,
ENSG00000104938,CLEC4M,-7.4,3.84743343562587e-26,
ENSG00000152377,SPOCK1,7.4,1.08069227116923e-22,
ENSG00000160339,FCN2,-7.4,2.41258299658995e-21,
ENSG00000162366,PDZK1IP1,7.4,3.30464385731663e-50,
ENSG00000167080,B4GALNT2,7.4,2.08730361844475e-08,
ENSG00000167798,C3P1,-7.4,2.03899929017867e-26,
ENSG00000167910,CYP7A1,-7.4,1.76340442623833e-17,
ENSG00000168509,HJV,-7.4,1.89969048838877e-33,
ENSG00000172482,AGXT,-7.4,6.46179697794589e-25,
ENSG00000174992,ZG16,-7.4,6.30094192044622e-31,
ENSG00000227242,,-7.4,1.17481987611541e-32,
ENSG00000240935,PLGLA,-7.4,7.70290192710962e-30,
ENSG00000270002,,7.4,8.3045531512692e-16,
ENSG00000021461,CYP3A43,-7.3,5.86800594405987e-32,
ENSG00000101981,F9,-7.3,1.03623141221966e-28,
ENSG00000118137,APOA1,-7.3,1.19700499321929e-25,
ENSG00000132837,DMGDH,-7.3,3.20727850953519e-50,
ENSG00000145692,BHMT,-7.3,5.71262372594153e-22,
ENSG00000163586,FABP1,-7.3,1.1459413351614e-27,
ENSG00000188676,IDO2,-7.3,4.36097815217782e-33,
ENSG00000198650,TAT,-7.3,1.59601880928259e-27,
ENSG00000198758,EPS8L3,7.3,2.4331592985217e-23,
ENSG00000203900,,-7.3,2.08643162664918e-25,
ENSG00000214855,APOC1P1,-7.3,1.67892350963955e-24,
ENSG00000218819,TDRD15,-7.3,2.31498044722904e-14,
ENSG00000231487,,-7.3,2.354613062499e-19,
ENSG00000235200,LINC01702,-7.3,4.2148273692183e-37,
ENSG00000254704,,-7.3,7.11855722286778e-13,
ENSG00000275152,CCL16,-7.3,5.81665397574539e-32,
ENSG00000277586,NEFL,7.3,1.32386182790796e-07,
ENSG00000281406,BLACAT1,7.3,4.39208135996414e-09,
ENSG00000010379,SLC6A13,-7.2,5.28097798983538e-41,
ENSG00000025423,HSD17B6,-7.2,1.42309278343777e-31,
