gene_id,gene_symbol,log2fc,pvalue,padj
ENSG00000165899,OTOGL,2.1,3.97530180958637e-06,
ENSG00000107317,PTGDS,-2.0,6.55521317841887e-06,
ENSG00000125618,PAX8,2.0,4.43699474369312e-06,
ENSG00000156925,ZIC3,2.0,1.82165090815478e-08,
ENSG00000171540,OTP,-2.0,5.09456262512355e-06,
ENSG00000126259,KIRREL2,1.9,9.37846840791891e-10,
ENSG00000148826,NKX6-2,-1.8,9.87207203412226e-05,
ENSG00000214402,LCNL1,-1.8,5.62787156827673e-05,
ENSG00000232480,TGFB2-AS1,-1.8,0.000270840052102507,
ENSG00000254656,RTL1,-1.8,2.29715300026193e-09,
ENSG00000092969,TGFB2,-1.7,0.000102064753492446,
ENSG00000109846,CRYAB,-1.7,0.000475219223770662,
ENSG00000168875,SOX14,-1.7,0.00032827965060736,
ENSG00000258548,LINC00645,-1.7,2.72497638063342e-06,
ENSG00000108691,CCL2,-1.6,0.000340402347898828,
ENSG00000112319,EYA4,-1.6,0.0022823179242574,
ENSG00000123892,RAB38,1.6,0.000506946769770239,
ENSG00000125046,SSUH2,1.6,0.00170795566412406,
ENSG00000142089,IFITM3,-1.6,1.82165090815478e-08,
ENSG00000186188,FFAR4,-1.6,0.00138553389473818,
ENSG00000189223,PAX8-AS1,1.6,0.00216048841743024,
ENSG00000197587,DMBX1,1.6,0.00149921060020508,
ENSG00000253846,PCDHGA10,-1.6,0.000602189894401623,
ENSG00000073756,PTGS2,1.5,0.00617707221594441,
ENSG00000105048,TNNT1,1.5,0.00115874442428945,
ENSG00000137441,FGFBP2,-1.5,0.00373290947689531,
ENSG00000137573,SULF1,-1.5,0.0044389624808142,
ENSG00000162551,ALPL,1.5,5.62787156827673e-05,
ENSG00000165072,MAMDC2,-1.5,0.00317440309649491,
ENSG00000168779,SHOX2,-1.5,0.000534163341360573,
ENSG00000185201,IFITM2,-1.5,4.02361586224536e-11,
ENSG00000189060,H1-0,1.5,4.83482935662935e-05,
ENSG00000221869,CEBPD,-1.5,0.00248782972497696,
ENSG00000064309,CDON,1.4,2.56021133934501e-05,
ENSG00000069812,HES2,-1.4,0.00841222171043752,
ENSG00000102265,TIMP1,-1.4,4.75771735143024e-07,
ENSG00000109861,CTSC,1.4,0.000151655040059435,
ENSG00000116147,TNR,-1.4,0.00230421453939108,
ENSG00000116711,PLA2G4A,1.4,5.62787156827673e-05,
ENSG00000139219,COL2A1,1.4,0.00383936894365291,
ENSG00000139800,ZIC5,1.4,0.00224102681988538,
ENSG00000145451,GLRA3,-1.4,0.00999347876985645,
ENSG00000147394,ZNF185,-1.4,0.00172397574238747,
ENSG00000152910,CNTNAP4,-1.4,0.00187166300876584,
ENSG00000164600,NEUROD6,-1.4,0.00710832354597014,
ENSG00000170396,ZNF804A,-1.4,0.000178145274561669,
ENSG00000178999,AURKB,1.4,0.000643223534120543,
ENSG00000182168,UNC5C,1.4,0.000869548749938281,
ENSG00000187094,CCK,-1.4,0.00828802272291737,
ENSG00000204516,MICB,1.4,0.00230421453939108,
ENSG00000272931,LRRC8D-DT,-1.4,0.0127972878764507,
ENSG00000043355,ZIC2,1.3,0.00730955783234111,
ENSG00000099994,SUSD2,1.3,0.00828802272291737,
ENSG00000112280,COL9A1,1.3,0.000715930261468189,
ENSG00000116833,NR5A2,-1.3,,
ENSG00000117971,CHRNB4,1.3,0.00149921060020508,
ENSG00000127564,PKMYT1,1.3,0.00170795566412406,
ENSG00000130203,APOE,-1.3,0.00852866118144102,
ENSG00000138207,RBP4,-1.3,0.0161955012209722,
ENSG00000144550,CPNE9,1.3,0.0277063995704094,
ENSG00000145242,EPHA5,-1.3,0.00403284226751307,
ENSG00000149633,KIAA1755,1.3,0.0291100433828037,
ENSG00000156395,SORCS3,-1.3,0.00176972855248797,
ENSG00000158715,SLC45A3,1.3,0.0132807483297808,
ENSG00000159173,TNNI1,1.3,0.015325001284835,
ENSG00000161270,NPHS1,1.3,0.00149921060020508,
ENSG00000161921,CXCL16,-1.3,0.0160067427424917,
ENSG00000162817,C1orf115,1.3,0.00294787424031702,
ENSG00000162975,KCNF1,-1.3,0.00132793421816459,
ENSG00000167900,TK1,1.3,0.00245406521070838,
ENSG00000169851,PCDH7,-1.3,5.5244241211093e-06,
ENSG00000170745,KCNS3,1.3,0.0160067427424917,
ENSG00000180818,HOXC10,1.3,0.0160067427424917,
ENSG00000183715,OPCML,-1.3,0.0102342007257276,
ENSG00000184697,CLDN6,1.3,0.0284186567817807,
ENSG00000186340,THBS2,-1.3,0.000893276756124307,
ENSG00000187867,PALM3,1.3,6.63746319399555e-06,
ENSG00000197057,DTHD1,-1.3,0.0241313384142672,
ENSG00000204175,GPRIN2,1.3,0.0104010271949208,
ENSG00000204291,COL15A1,-1.3,0.018798129432677,
ENSG00000206190,ATP10A,1.3,0.0250892113135427,
ENSG00000229214,LINC00242,1.3,0.00294787424031702,
ENSG00000231868,,-1.3,0.0250892113135427,
ENSG00000006047,YBX2,1.2,0.000740447583420365,
ENSG00000013810,TACC3,1.2,0.000904745141522264,
ENSG00000019102,VSIG2,1.2,0.0435446406909216,
ENSG00000082556,OPRK1,1.2,0.0241552381591755,
ENSG00000090889,KIF4A,1.2,8.03295542712101e-05,
ENSG00000101447,FAM83D,1.2,0.00082486107095532,
ENSG00000113578,FGF1,-1.2,0.0364641093089633,
ENSG00000114737,CISH,1.2,0.00864629149454209,
ENSG00000115380,EFEMP1,-1.2,0.00294787424031702,
ENSG00000116745,RPE65,-1.2,0.0277934198447236,
ENSG00000128052,KDR,1.2,0.0384630865458875,
ENSG00000128242,GAL3ST1,1.2,0.0360530593913048,
ENSG00000130600,H19,-1.2,0.0406469920043248,
ENSG00000132481,TRIM47,-1.2,0.00779299740010327,
ENSG00000134690,CDCA8,1.2,0.00274390585684667,
ENSG00000135476,ESPL1,1.2,0.00158209395982624,
ENSG00000136826,KLF4,1.2,0.00710832354597014,
ENSG00000138759,FRAS1,1.2,0.000869548749938281,
ENSG00000140451,PIF1,1.2,0.000643223534120543,
ENSG00000147257,GPC3,1.2,0.0150723445095906,
ENSG00000163932,PRKCD,1.2,0.0175436960752313,
ENSG00000166803,PCLAF,1.2,0.0424409539916651,
ENSG00000168267,PTF1A,1.2,0.0339415833184927,
ENSG00000171246,NPTX1,1.2,9.16844174341853e-05,
ENSG00000172575,RASGRP1,1.2,0.00748806548431644,
ENSG00000174963,ZIC4,1.2,0.0058669663300412,
ENSG00000175040,CHST2,1.2,0.00224102681988538,
ENSG00000177103,DSCAML1,-1.2,0.0405805344552975,
ENSG00000198400,NTRK1,1.2,0.053930549086798,
ENSG00000203805,PLPP4,-1.2,0.0456308539083448,
ENSG00000204711,C9orf135,1.2,,
ENSG00000229743,LINC01159,1.2,0.00943376608767253,
ENSG00000233836,,1.2,0.0044389624808142,
