gene_id,gene_symbol,log2fc,pvalue,padj
ENSG00000143847,PPFIA4,-2.5,2.91357928903666e-158,
ENSG00000114268,PFKFB4,-2.3,2.06834480254107e-166,
ENSG00000152256,PDK1,-2.3,0.0,
ENSG00000177106,EPS8L2,-2.3,4.8418352296471e-34,
ENSG00000113083,LOX,-2.2,3.29979297247818e-292,
ENSG00000159167,STC1,-2.2,1.1079445826278e-53,
ENSG00000012171,SEMA3B,-2.1,1.36626701402342e-37,
ENSG00000104765,BNIP3L,-2.1,9.57436194217219e-302,
ENSG00000134107,BHLHE40,-2.0,8.29495627378006e-176,
ENSG00000109107,ALDOC,-1.9,8.07334910050518e-78,
ENSG00000164056,SPRY1,-1.9,1.89462030980624e-86,
ENSG00000204388,HSPA1B,1.9,0.0,
ENSG00000080166,DCT,-1.8,2.09868377609221e-14,
ENSG00000123095,BHLHE41,-1.8,3.67883575435817e-61,
ENSG00000171533,MAP6,-1.8,7.48979622742108e-19,
ENSG00000176171,BNIP3,-1.8,3.57060766963157e-240,
ENSG00000247095,MIR210HG,-1.8,8.98857139163619e-19,
ENSG00000113739,STC2,-1.7,6.83825533700149e-287,
ENSG00000152952,PLOD2,-1.7,0.0,
ENSG00000211459,MT-RNR1,-1.7,7.24316155592476e-18,
ENSG00000059804,SLC2A3,-1.6,4.30962634835735e-40,
ENSG00000114480,GBE1,-1.6,5.5982934280943e-104,
ENSG00000121966,CXCR4,-1.6,2.64157956372888e-47,
ENSG00000124785,NRN1,-1.6,3.32920726103032e-192,
ENSG00000130066,SAT1,-1.6,1.17133915114869e-24,
ENSG00000135245,HILPDA,-1.6,6.70603981866187e-53,
ENSG00000181458,TMEM45A,-1.6,2.99991380953048e-61,
ENSG00000185567,AHNAK2,-1.6,7.77580785564123e-38,
ENSG00000102144,PGK1,-1.5,0.0,
ENSG00000114023,FAM162A,-1.5,1.94207709622809e-207,
ENSG00000117394,SLC2A1,-1.5,3.52888091871265e-179,
ENSG00000120738,EGR1,1.5,7.11090012996741e-29,
ENSG00000162433,AK4,-1.5,2.22109381984596e-181,
ENSG00000177181,RIMKLA,-1.5,4.13843438081869e-69,
ENSG00000183111,ARHGEF37,-1.5,1.95750729813109e-18,
ENSG00000185022,MAFF,-1.5,1.42691251623202e-17,
ENSG00000005889,ZFX,-1.4,1.27274299301736e-140,
ENSG00000103184,SEC14L5,-1.4,8.9001302898183e-11,
ENSG00000108379,WNT3,-1.4,1.5933853511441e-23,
ENSG00000148926,ADM,-1.4,4.01704598395313e-22,
ENSG00000152932,RAB3C,1.4,1.60803129308074e-33,
ENSG00000159958,TNFRSF13C,-1.4,8.62376668364517e-14,
ENSG00000160602,NEK8,-1.4,2.27719994827226e-18,
