gene_id,gene_symbol,log2fc,pvalue,padj
YAL037C-A,,5.6,2.85852801138906e-294,
YIR019C,MUC1,4.2,0.0,
YKL187C,,-3.1,0.0,
YEL021W,,2.9,0.0,
YDR345C,,2.7,4.76590392276524e-41,
YBR054W,,-2.4,3.63260501303395e-143,
YBR196C-A,,2.2,5.48741946041235e-29,
YBR196C-B,,2.1,8.59229170842757e-35,
YNL036W,NCE103,-2.1,1.09834767296177e-210,
YDR223W,,-2.0,1.42488669413112e-87,
YPL036W,,-2.0,1.3045286210255e-104,
YPL272C,,2.0,4.25541242096686e-23,
YDL037C,,1.9,8.52985355744041e-49,
YGR043C,,-1.9,2.51576422536476e-71,
YPL276W,YPL276W,-1.9,1.37363035580627e-47,
YDL039C,PRM7,1.8,1.08936650836154e-56,
YPL223C,,-1.8,1.22306328305226e-26,
YCR005C,,1.7,1.11137136052253e-22,
YER121W,,-1.7,3.57608279768909e-90,
YGL158W,,1.7,7.72683385502976e-20,
YNL160W,,-1.7,5.86891763813676e-65,
YBR295W,PCA1,-1.6,7.65823627649407e-123,
YCR021C,HSP30,-1.6,3.50026794061201e-47,
YJL116C,,-1.6,7.16535985014983e-103,
YML131W,,-1.6,1.49848776722987e-93,
YMR107W,,-1.6,8.42562357409821e-89,
YBR299W,MAL32,1.5,3.03704851630751e-80,
YCL048W-A,,-1.5,9.03955409909164e-44,
YDR042C,,1.5,6.76616905001718e-20,
YGL096W,,-1.5,9.18655630992451e-58,
YGR142W,,-1.5,1.65350841523839e-81,
YGR236C,,-1.5,1.11298901621242e-43,
YNL234W,,1.5,5.79830877153955e-50,
YOL052C-A,DDR2,-1.5,4.23374398535418e-71,
YOR382W,,1.5,4.29674134485311e-69,
YDR256C,,-1.4,4.15626881733224e-116,
YFL014W,HSP12,-1.4,1.29589091719317e-19,
YGR273C,,1.4,4.35463375793347e-09,
YHR092C,HXT4,1.4,2.80601434559329e-14,
YHR214C-B,,1.4,5.96855902436166e-10,
YLR153C,,-1.4,1.24170066200947e-10,
YOR383C,,1.4,1.30466088046263e-38,
YBR072W,,-1.3,2.80601434559329e-14,
YBR116C,,-1.3,5.5968693410257e-10,
YCL018W,,-1.3,2.66875439749152e-82,
YCR106W,,1.3,2.85545332342971e-11,
YDL218W,,-1.3,1.7501348987603e-32,
YDR218C,,-1.3,1.8817101433844e-41,
YEL041W,,-1.3,3.98883312932331e-73,
YER103W,SSA4,-1.3,4.38309466991691e-57,
YHR136C,,-1.3,2.07166653727985e-13,
YBR056W-A,,1.2,2.50610256731926e-23,
YBR117C,,-1.2,6.36327309809043e-09,
YBR157C,,-1.2,4.49686289556317e-51,
YBR169C,,-1.2,1.1872778946744e-37,
YDR259C,YAP6,-1.2,2.69908080468138e-36,
YDR536W,,-1.2,2.67536082845498e-50,
YFL012W,,1.2,1.23683781009092e-08,
YGL157W,,1.2,2.02193278314332e-20,
YGR249W,,1.2,2.00367042787977e-25,
YHR126C,,-1.2,1.13126368147072e-10,
YJL218W,,1.2,2.86800855157209e-17,
YJR096W,,-1.2,3.61917002587469e-39,
YKL217W,,-1.2,1.58367393053687e-74,
YMR303C,ADH2,-1.2,1.34223486944139e-39,
YOL165C,,1.2,8.04227814912848e-09,
YAL018C,,1.1,3.19255368600048e-10,
YAR035C-A,,1.1,1.01086856498245e-06,
YAR035W,,1.1,2.33054162457226e-10,
YBR092C,PHO3,-1.1,3.16012611447609e-22,
YBR093C,PHO5,1.1,2.78000669132727e-22,
YCR010C,ADY2,-1.1,1.65381391639881e-27,
YDR070C,,-1.1,3.43368059531933e-10,
YDR309C,,1.1,4.63976553580262e-28,
YHR087W,,-1.1,9.86116526848509e-08,
YKL026C,,-1.1,2.45480742212299e-28,
YLR346C,,-1.1,2.414690431188e-18,
YMR090W,,-1.1,2.5085809834059e-26,
YMR175W,,-1.1,4.43758646593705e-08,
YNR014W,,1.1,2.03501918573112e-13,
YOL155C,,-1.1,4.32994276557762e-80,
YOR388C,,-1.1,2.58732865119235e-28,
YPL092W,SSU1,-1.1,2.29703211280105e-54,
YPR006C,,-1.1,6.8357207148359e-73,
YAL054C,ACS1,-1.0,2.51102216442674e-06,
YAL064W,,1.0,1.24999202078734e-05,
YAR028W,,1.0,1.44787663771061e-14,
YBL075C,SSA3,-1.0,4.73327272125878e-08,
YDR112W,,1.0,4.65494301673451e-06,
YDR508C,,1.0,1.38455052869879e-24,
YEL040W,UTR2,1.0,3.5836543582478e-26,
YEL065W,SIT1,1.0,1.15090650999752e-24,
YFR023W,,1.0,3.99618671007561e-13,
YGL034C,,1.0,3.1054666577889e-05,
YGL258W-A,,1.0,1.30646471455706e-06,
YGR051C,,1.0,1.36628058896122e-17,
YGR087C,,-1.0,3.89823146220293e-39,
YHR095W,,1.0,4.08382719300217e-05,
YIL117C,,1.0,1.08698594376618e-56,
YLR348C,,-1.0,3.4773336882941e-39,
YLR377C,FBP1,-1.0,1.66532480427472e-46,
YML123C,PHO84,-1.0,6.15282319310023e-06,
YMR006C,,-1.0,1.30359449573405e-57,
YMR174C,PAI3,-1.0,3.61494150254081e-20,
YOL047C,,1.0,1.22602958562197e-16,
YOR100C,,1.0,4.66467962506864e-17,
YOR338W,,1.0,7.94127060557153e-29,
YPL054W,,-1.0,2.77486690517432e-35,
YAR073W,,0.9,8.17092016919001e-08,
YBR230W-A,,0.9,2.18683550789141e-22,
YBR294W,SUL1,-0.9,7.7972370327076e-43,
YDL049C,,-0.9,9.76452712468352e-31,
YDR119W-A,,0.9,4.67480482191524e-29,
YDR214W,,-0.9,2.35798185448509e-39,
YEL008W,,0.9,1.18751416629115e-07,
YFL015C,,0.9,0.000124707810845202,
YGL170C,,0.9,2.23733002717987e-11,
YGL255W,,-0.9,3.79926822900109e-14,
YGL262W,,0.9,4.97493749037671e-12,
YGL263W,,0.9,1.14575536269943e-13,
YGR292W,MAL12,0.9,2.16161409416145e-38,
YHL042W,,-0.9,3.78632573354601e-20,
YHL044W,,0.9,1.11331415563462e-06,
YHR096C,,-0.9,5.21356331554892e-21,
YJL045W,YJL045W,-0.9,1.15854427523492e-25,
YLR109W,AHP1,-0.9,1.34377570586617e-06,
YLR413W,,0.9,8.65077153949753e-20,
YMR058W,,0.9,8.34657084352465e-25,
YMR136W,,-0.9,5.34479590883297e-30,
