gene_id,gene_symbol,log2fc,pvalue,padj
YIR023W,DAL81,-5.1,1.48354256535707e-268,
YBR069C,TAT1,-1.9,2.66654825378786e-38,
YML047C,,1.9,2.48240631605334e-28,
YBR093C,PHO5,1.4,1.35135459079707e-24,
YER064C,,-1.4,7.15953280158836e-18,
YAL067C,,1.2,1.31866247233134e-15,
YDR281C,,1.2,1.14443793531788e-23,
YDR461W,,1.2,3.02003136538999e-11,
YFR030W,,1.2,5.19200554279192e-18,
YGL255W,,1.2,9.1717704562199e-32,
YNL279W,,1.2,6.55011050405194e-20,
YNR044W,AGA1,1.1,4.84889911480635e-15,
YPL274W,,1.1,1.86341203154103e-18,
YBR068C,,-1.0,3.66720372169301e-11,
YHL028W,WSC4,1.0,1.91587573243832e-18,
YHR136C,,1.0,6.1346517979707e-25,
YKR069W,MET1,1.0,2.74592009171414e-24,
YPL250C,,1.0,5.17998800658628e-21,
YPR167C,,1.0,6.53055037835578e-09,
YAR071W,,0.9,3.66720372169301e-11,
YBL016W,FUS3,0.9,1.18164788546236e-35,
YCR089W,,0.9,4.83339798628297e-38,
YDL154W,,0.9,8.07161896176116e-18,
YDR253C,,0.9,4.73269225832878e-11,
YDR508C,,-0.9,1.45157992223895e-06,
YGL125W,MET13,0.9,1.18591081911259e-14,
YHR033W,,0.9,1.86581470355398e-31,
YIL119C,,0.9,4.87332437943971e-19,
YIL121W,,0.9,1.96096613386529e-16,
YKL001C,,0.9,2.36838595490034e-07,
YLR092W,,0.9,4.31876819148698e-06,
YNR057C,,0.9,2.45881407428797e-08,
YOL052C-A,DDR2,0.9,6.39707683497091e-06,
YPL095C,,0.9,4.85189163979015e-11,
YPL111W,CAR1,-0.9,4.76143073241579e-06,
YPL265W,,-0.9,7.42987186565554e-06,
YPR015C,,0.9,5.94866285774311e-08,
YPR145W,,-0.9,2.22811336893081e-06,
YBR040W,,0.8,0.000326209703689016,
YBR067C,,0.8,1.16009938409976e-12,
YCL027W,,0.8,8.31559243404504e-06,
YCL055W,,0.8,6.1717815092563e-05,
YDR509W,,-0.8,0.000104202095810171,
YER096W,,0.8,6.42504322543473e-06,
YGL032C,AGA2,0.8,0.000114731954086455,
YGR234W,YHB1,0.8,2.79226484397587e-11,
YHR215W,PHO12,0.8,1.83587883145431e-16,
YJL116C,,0.8,1.45691137588145e-05,
YJL212C,OPT1,-0.8,6.00074103970892e-12,
YJR010W,,0.8,2.55797836767243e-05,
YJR078W,,0.8,2.05722014012039e-06,
YLR303W,MET17,0.8,2.23126626149082e-06,
YML123C,PHO84,0.8,4.84889911480635e-15,
YMR232W,,0.8,7.94471151001684e-08,
YNL277W,,0.8,8.78103645824236e-09,
YOR010C,TIR2,0.8,2.40262097387262e-05,
YPL171C,OYE3,0.8,8.55167519667365e-05,
YER037W,,0.7,0.000250212151791173,
YER069W,,0.7,3.59161074350028e-11,
YER072W,VTC1,0.7,3.157830166461e-09,
YGL009C,,0.7,0.00289260567390699,
YGR254W,ENO1,0.7,1.26264437680693e-08,
YHR018C,,0.7,1.3738488040158e-07,
YHR071W,,-0.7,5.00997945168332e-11,
YIR017C,,0.7,0.00422477855707391,
YJL012C,VTC4,0.7,2.64719642785459e-35,
YJL079C,,0.7,0.000871114128982691,
YJR137C,MET5,0.7,0.000122603206037583,
YJR154W,,0.7,2.05722014012039e-06,
YJR155W,,0.7,6.53927018768118e-09,
YLR302C,,0.7,0.000517060323062909,
YMR096W,,-0.7,3.7088711253967e-08,
YNR067C,DSE4,-0.7,3.31685332086538e-09,
YOR107W,,0.7,1.78734522142707e-06,
YPL017C,,0.7,7.56381235498453e-07,
YPL264C,,0.7,4.07984793368194e-09,
YBL043W,,0.6,0.00992571117019329,
YBR054W,,0.6,0.00566255041536192,
YBR076W,,0.6,0.0102780442422931,
YBR083W,TEC1,0.6,4.68112467122167e-07,
YBR147W,RTC2,0.6,0.00363148079346481,
YBR201C-A,,0.6,0.0014990668666049,
YBR213W,,0.6,0.000299446432910604,
YBR296C-A,,0.6,0.0111666267057257,
YCL018W,,0.6,,
YDL059C,,0.6,7.34544164225216e-08,
YDR391C,,0.6,0.000410204774192694,
YEL059C-A,,0.6,0.000496263293168524,
YER042W,MXR1,0.6,6.0953509918168e-09,
YER056C,FCY2,-0.6,0.000524190046296729,
YER068C-A,,0.6,0.000503904488593689,
YER158C,,0.6,5.77640126126644e-06,
YER187W,,0.6,0.000239041168941754,
YFR012W,,0.6,0.0114520897707587,
YFR034C,PHO4,0.6,2.98261482874926e-07,
YGL184C,,0.6,0.00835033395618348,
YGL263W,,0.6,0.00798036563053404,
YGR065C,,0.6,6.55011050405194e-20,
YHR097C,,0.6,0.0100848131268496,
YIL011W,TIR3,0.6,3.57243707237364e-05,
YIL074C,,0.6,1.0974211738018e-07,
YIL113W,,0.6,0.00356545497048666,
YIR023C-A,,-0.6,0.00172106084976345,
YJL088W,ARG3,0.6,1.16797269397023e-09,
YJL144W,,0.6,0.0244759026864177,
YJR004C,SAG1,0.6,0.00267286034531615,
YKL120W,,0.6,0.0145313507450371,
YLR094C,,-0.6,9.63590198786747e-10,
YLR214W,,-0.6,1.83385084842308e-06,
YMR011W,,-0.6,6.5946157135793e-09,
YMR135W-A,,0.6,0.00571289949254179,
YMR136W,,0.6,0.000108452605315055,
YNL327W,,-0.6,6.25469433905548e-08,
YNR058W,,0.6,4.55768887550977e-06,
YOL110W,SHR5,0.6,6.29641806070738e-07,
YOL154W,,0.6,1.64003503013044e-07,
YOR273C,,0.6,0.00144420825069259,
YOR343C,,0.6,0.0185176015882979,
YPL018W,CTF19,0.6,1.78734522142707e-06,
YPL019C,VTC3,0.6,3.66720372169301e-11,
YPL036W,,0.6,1.83385084842308e-06,
YPR065W,ROX1,-0.6,0.0123435538603356,
YPR115W,RGC1,0.6,0.00117649055259454,
YPR192W,,0.6,0.00199216011207148,
YAL024C,LTE1,-0.5,0.00133550542594811,
YAL039C,CYC3,0.5,3.7436406387193e-06,
YAR047C,,0.5,0.0521167821165271,
YAR050W,FLO1,0.5,0.000570570730175542,
YBL029W,,0.5,0.00329506551067128,
YBL049W,,0.5,0.0184959527262499,
YBR183W,YPC1,0.5,0.0723383057754684,
YBR196C-A,,0.5,0.0477125965201491,
YBR208C,"DUR1,2",-0.5,0.0281362505995575,
YBR240C,THI2,0.5,0.00229776616758217,
YBR296C,PHO89,0.5,0.000122721744886295,
YBR297W,MAL33,0.5,2.03682261757784e-06,
YCL024W,,0.5,0.000887081159831118,
YCR006C,,0.5,0.0225793433919039,
YCR021C,HSP30,0.5,0.0647791527925358,
YDL022W,GPD1,0.5,0.0369213739784803,
YDL023C,YDL023C,0.5,0.0397714705083565,
YDL170W,,0.5,0.0016608877751464,
YDR019C,GCV1,-0.5,1.96047016211954e-06,
YDR042C,,0.5,0.0725224172588756,
YDR046C,BAP3,-0.5,1.93843452531374e-05,
YDR216W,,-0.5,0.01495221253659,
YDR380W,,-0.5,,
YDR453C,TSA2,-0.5,0.0647899281681805,
YDR516C,,-0.5,0.0764155160481991,
YDR525W-A,,0.5,0.00385746154983424,
YEL072W,,0.5,8.73910883448593e-07,
YER073W,,0.5,0.034780880805809,
YER091C,,0.5,1.33250235142458e-05,
YFR017C,,0.5,0.0512555693598593,
YFR023W,,0.5,0.0386765851539066,
YFR035C,,0.5,0.00203109051968558,
YGL028C,,-0.5,0.000381805625939767,
YGL089C,,0.5,0.0561350933719521,
YGL158W,,0.5,0.0482621401867271,
YGL182C,,0.5,0.0575724313265085,
YGL183C,,0.5,0.0215216668556178,
YGR055W,,0.5,0.0386765851539066,
YGR066C,,0.5,0.0145313507450371,
YGR144W,THI4,0.5,0.0314879019963596,
YHL036W,,0.5,0.0961356251657514,
YHR023W,,-0.5,1.88794164887276e-05,
YHR171W,ATG7,0.5,0.0685684232918237,
YHR176W,,0.5,2.3984859293544e-05,
YHR184W,SSP1,0.5,0.00378676526207756,
YHR208W,BAT1,0.5,0.0750045746695105,
YIL045W,,0.5,0.0479057453297522,
YIL066C,RNR3,0.5,0.00434817739553273,
YIL101C,,0.5,0.0324772672441379,
YJL043W,,0.5,0.0320057593700966,
YJL056C,ZAP1,0.5,4.1449575370953e-05,
YJL060W,,0.5,4.07622410699646e-07,
YJL217W,,-0.5,0.000326209703689016,
YJR009C,TDH2,0.5,0.00170023358117286,
YKL067W,YNK1,0.5,0.00207139928633292,
YKL163W,PIR3,0.5,0.01495221253659,
YKR077W,,0.5,0.00199791953567267,
YLL062C,,0.5,0.0156638528963518,
YLR149C,,0.5,0.0457087769654285,
YLR366W,,-0.5,0.0418713555286283,
YLR452C,,0.5,5.39354990695309e-06,
YML122C,,-0.5,0.0314879019963596,
YMR095C,,-0.5,0.000134974608009899,
YNL024C,,0.5,3.44932999244436e-05,
YNL045W,,-0.5,6.38934291729606e-06,
YNL145W,,0.5,0.0136221097998866,
YOL064C,MET22,0.5,8.0692004464591e-05,
YOL104C,NDJ1,0.5,0.000516800004289614,
YOL147C,PEX11,0.5,3.96830964178323e-11,
YOL162W,,0.5,0.0365472631972686,
YOL163W,,0.5,0.0472504396457822,
YOL164W-A,,0.5,0.0888365343655423,
YOR028C,CIN5,0.5,0.0175031067440435,
YOR029W,,0.5,0.0851634288595159,
YOR032C,,0.5,0.0133714880255363,
YOR202W,HIS3,0.5,4.96912539956037e-05,
YPL054W,,0.5,0.0500347094845685,
YPL081W,RPS9A,-0.5,7.31416958852504e-05,
YPL271W,ATP15,0.5,0.000384148632003553,
YPR078C,,0.5,0.0472226486706329,
RNA170,RNA170,0.4,0.193693366797938,
YAL029C,MYO4,-0.4,0.000413445507280962,
YAR028W,,-0.4,0.129057903602729,
YAR029W,,-0.4,0.0709646801110582,
YBL042C,,-0.4,0.0471122394233314,
YBL106C,SRO77,0.4,0.0698824193414321,
YBR038W,,-0.4,0.00425795325404733,
YBR051W,,0.4,0.198846250320007,
YBR157C,,0.4,0.103790230290598,
YBR212W,NGR1,0.4,0.00199216011207148,
YBR231C,SWC5,0.4,0.000233710002811414,
YBR269C,,0.4,0.0129603212624823,
YBR286W,APE3,-0.4,0.000133847641986116,
YBR298C,MAL31,0.4,0.0805317213389666,
YCL014W,BUD3,-0.4,1.54904003291998e-05,
YCL048W-A,,0.4,0.108477495644482,
YCL056C,,0.4,2.93767431249591e-05,
YCL057C-A,MOS1,0.4,0.00478031317837338,
YCR030C,SYP1,-0.4,0.00363603027653074,
YCR098C,,0.4,0.0858812336071126,
YDL017W,CDC7,0.4,5.5473766070615e-05,
YDL048C,,0.4,0.0647791527925358,
YDL077C,VAM6,-0.4,0.000787448549231724,
YDL110C,,0.4,0.178901053891213,
YDL200C,MGT1,0.4,0.0684846834853969,
YDL241W,,0.4,0.020061090288732,
YDR010C,,0.4,0.104673214887747,
YDR018C,,0.4,0.0966857171395046,
YDR122W,,0.4,0.0610044801913258,
YDR133C,,0.4,0.010412633770382,
YDR144C,MKC7,-0.4,0.0483059702264431,
YDR278C,,0.4,0.179983846921129,
YDR326C,,-0.4,0.000108452605315055,
YDR367W,,-0.4,0.0383032434965991,
YDR384C,,-0.4,0.133169025733121,
YDR481C,PHO8,0.4,0.0471122394233314,
YDR502C,SAM2,0.4,0.0647899281681805,
YEL059W,HHY1,0.4,0.133213775592543,
YEL073C,,0.4,0.0599624653972009,
YER001W,,0.4,0.00121260170872836,
YER020W,GPA2,0.4,0.00029644649202772,
YER035W,,0.4,0.000871237097553599,
YER052C,HOM3,0.4,0.0653910717466915,
YER079W,,0.4,0.100478610141117,
YER106W,,0.4,0.13620434761164,
YER124C,,-0.4,0.0638742838963415,
YFL010W-A,AUA1,0.4,0.049036287767059,
YFL021C-A,,0.4,0.172991148255914,
YFL028C,,0.4,0.0581409591189256,
YFL059W,,0.4,0.133213775592543,
YFL060C,,0.4,0.124024322987531,
YFR033C,QCR6,0.4,0.0122269047140259,
YFR039C,,-0.4,8.32021070312613e-05,
YGL021W,,-0.4,0.00026322715582122,
YGL034C,,0.4,0.189242268016999,
YGL053W,,0.4,0.0106660358787975,
YGL096W,,0.4,0.0720421586497196,
YGL194C-A,,0.4,0.0155452763651614,
YGL253W,HXK2,-0.4,0.027575114269648,
YGL257C,,-0.4,2.85103549465851e-05,
YGL262W,,0.4,0.112830790920923,
YGR052W,,0.4,0.10747368039878,
YGR053C,,0.4,0.103602941402521,
YGR073C,,0.4,0.24773372643856,
YGR087C,,0.4,0.118642206744994,
YGR138C,,0.4,0.103790230290598,
YGR139W,,0.4,0.177926866072325,
YGR146C,,0.4,0.0118823041492416,
YGR233C,PHO81,0.4,4.26456272528021e-07,
YGR239C,,0.4,0.000137434755686053,
YGR243W,,0.4,0.175535875176712,
YGR259C,,0.4,0.133350084301754,
YHL048C-A,,0.4,0.116541320533784,
YHR032W-A,,0.4,0.124183983551228,
YHR047C,AAP1,-0.4,0.0213440762195841,
YHR084W,,0.4,0.000125631514771431,
YHR189W,PTH1,0.4,0.049036287767059,
YHR214W-A,,-0.4,0.100478610141117,
YHR216W,IMD2,0.4,0.0150609950009655,
YIL050W,,0.4,2.30133589177536e-05,
YIL080W,,0.4,0.0864290321024831,
YIL099W,,0.4,0.238734484069239,
YIR030C,,0.4,0.0644235093182386,
YIR032C,,0.4,0.195182210149074,
YIR034C,,0.4,0.0471122394233314,
YJL027C,,0.4,0.0523035093394962,
YJL035C,,0.4,0.0512555693598593,
YJL038C,LOH1,0.4,0.0219826997301371,
YJL077C,,0.4,0.00632110869220933,
YJL153C,INO1,0.4,0.179279988304882,
YJL157C,,0.4,0.00163916800594686,
YJL163C,,0.4,0.165600000967168,
YJL219W,,0.4,0.20095429656475,
YJR008W,,0.4,0.0795046999282555,
YJR016C,,0.4,0.121704226797291,
