switch_number,on_off,aug_index,p_open_off,p_open_on,dG_open_off,dG_open_on,separation,A_M_off,A_M_on,A_M_gain,switch_len
4,264.6,50,2.1815498187459284e-11,0.01796657880662344,15.12968921661377,2.4771423339843754,12.652546882629395,0.1606648929958686,0.7145339540802295,0.5538690610843608,92
10,192.4,50,3.946174673229723e-11,0.021914980420720747,14.764389038085938,2.354705810546875,12.409683227539062,0.16217899404069225,0.8820728803594833,0.719893886318791,92
14,153.4,50,2.5802246731354844e-12,0.028979114237036654,16.4453763961792,2.1825027465820312,14.262873649597168,0.16653469432934032,0.7306783897240798,0.5641436953947395,92
42,44.7,50,3.396323537259627e-08,0.09352040340023822,10.59947681427002,1.460418701171875,9.139058113098145,0.17194118497577693,0.8382822409249078,0.6663410559491308,92
46,40.5,50,4.386942784559515e-12,0.02702187628224928,16.118260383605957,2.2256011962890625,13.892659187316895,0.16182724758229347,0.7774043106179117,0.6155770630356182,92
48,39.1,50,1.7623733642716657e-11,0.008214022742518418,15.26119613647461,2.9595184326171875,12.301677703857422,0.17256570024830561,0.8013591954904293,0.6287934952421237,92
55,33.9,50,6.290037818650683e-14,0.0014761745759025683,18.734440803527832,4.017364501953125,14.717076301574707,0.17218606565190978,0.7245619797694949,0.5523759141175851,92
56,33.8,50,5.731327200424292e-14,0.0014761745759025683,18.791770935058594,4.017364501953125,14.774406433105469,0.1738966024859316,0.7245619797694932,0.5506653772835616,92
59,32.2,50,1.581056833041942e-11,0.079588509926422,15.328108787536621,1.5598373413085938,13.768271446228027,0.16038018993263536,0.8147997000598193,0.6544195101271839,92
63,29.3,50,9.412308637152692e-12,0.003779285769259931,15.647769927978517,3.4379730224609375,12.20979690551758,0.1601012187538293,0.6732389772540465,0.5131377585002171,92
64,29.1,50,1.7334396522245593e-11,0.0025724841571585235,15.271398544311523,3.675048828125,11.596349716186523,0.17227947901279567,0.6840596710580721,0.5117801920452765,92
68,24.8,50,1.560840395847467e-14,0.0014761745759025683,19.593433380126953,4.017364501953125,15.576068878173828,0.171951539071557,0.7245619797694943,0.5526104406979373,92
