1036 pairs survive stage 1

=== x@260 len_x=8 B-anchored lock -14.6 · AUG bulge 3x3 ===
  variant                sep  sep-10  meanSep  A_M11  A_M10  AUG11   dG11   P_open11
  baseline             -0.00   13.50    0.000  0.461  0.461  0.342   7.59   4.47e-06
  upper3               -0.00    9.63    0.000  0.537  0.537  0.392   6.46   2.79e-05
  upper6                0.00   14.34    0.000  0.441  0.441  0.370   6.86   1.47e-05
  upper6_au             0.00    5.43    0.000  0.307  0.307  0.091   7.72   3.63e-06
  aug_paired            5.91   21.81    0.219  0.384  0.009  0.229   7.84   2.99e-06
  aug_closed_au         3.68   20.05    0.263  0.459  0.010  0.338   7.60   4.42e-06
  aug_closed_gc         5.61   20.79    0.236  0.413  0.009  0.271   7.74   3.54e-06
  aug_pair2             2.05   17.39    0.225  0.461  0.083  0.341   7.59   4.45e-06
  aug_pair1             0.66   15.11    0.133  0.461  0.238  0.342   7.59   4.47e-06
  stop_before_bulge     3.78   21.68    0.257  0.463  0.009  0.361   6.77   1.70e-05
  sec_upper3            0.00   13.50    0.000  0.461  0.461  0.342   7.59   4.47e-06
  sec_upper6            0.00   13.49    0.000  0.461  0.461  0.342   7.59   4.47e-06
  stabiliser            0.00   13.50    0.000  0.461  0.461  0.342   7.59   4.47e-06

=== x@117 len_x=7 B-anchored lock -18.4 · AUG bulge 3x3 ===
  variant                sep  sep-10  meanSep  A_M11  A_M10  AUG11   dG11   P_open11
  baseline              0.00   16.65    0.000  0.703  0.703  0.942   3.83   1.99e-03
  upper3                0.02   15.66    0.010  0.809  0.793  0.911   2.82   1.02e-02
  upper6                0.37   11.31    0.088  0.640  0.425  0.981   7.39   6.21e-06
  upper6_au             3.47   13.92    0.220  0.438  0.072  0.230   5.07   2.70e-04
  aug_paired           12.00   21.66    0.063  0.111  0.007  0.002   7.92   2.62e-06
  aug_closed_au        11.97   22.58    0.072  0.130  0.007  0.028   6.05   5.46e-05
  aug_closed_gc        11.99   20.39    0.065  0.117  0.007  0.011   6.64   2.09e-05
  aug_pair2             8.24   21.49    0.312  0.701  0.064  0.939   3.84   1.98e-03
  aug_pair1             3.08   19.82    0.279  0.703  0.122  0.942   3.83   1.99e-03
  stop_before_bulge    10.91   14.90    0.062  0.105  0.001  0.001  14.03   1.31e-10
  sec_upper3            0.00   12.23    0.000  0.703  0.703  0.942   3.83   1.99e-03
  sec_upper6            0.00   16.56    0.000  0.703  0.703  0.942   3.83   1.99e-03
